1429944769	Dreams	Fleetwood Mac	Rumours	05dc4695-90cb-49e8-b4e4-9b119dadccb0	43202220-c6d1-4399-a2d2-0c4f8de0a65a	725a7242-21bc-47ec-81e7-327a14bc0130
1429944414	Remember The Good Things	Milosh	III	09c253ab-fd24-44c0-a344-488069ed70fe	f6ed9964-eb6b-4bed-81f9-277a2c50a833	0f1498ff-8876-39f1-a910-4ed1599afd34
1429944158	Wraith Pinned To The Mist And Other Games	of Montreal	The Sunlandic Twins	001d04a7-c062-4606-9fa1-b7ec0b1af89c	8475297d-fb78-4630-8d74-9b87b6bb7cc8	09d5b61d-d9d4-4d78-9b63-c07039ddef92
1429943972	The Sound of Silence	Simon & Garfunkel	The Graduate	620b3506-bc09-4da8-96e0-aae1ee9fb838	5d02f264-e225-41ff-83f7-d9b1f0b1874a	7fd445ea-4cf1-4011-9281-483c219ee0d8
1429943761	West Coast	Coconut Records	Nighttiming	1840c9fe-4be9-4bbb-bf21-dfacd59f376c	eddc0911-21fc-4327-ab90-ccc459ce1ef7	184b56ec-17d6-48e7-b447-314e53edd176
1429943634	April Come She Will	Simon & Garfunkel	The Graduate	6add94d8-5eff-4651-a39a-dca055d573c0	5d02f264-e225-41ff-83f7-d9b1f0b1874a	7fd445ea-4cf1-4011-9281-483c219ee0d8
1429941979	We'll Always Have Paris	Commander Venus	The Uneventful Vacation	02644356-1395-4fc7-9d29-4416ff651958	5d2243c4-2c9d-4fea-b376-09ddbb2fcb1b	ecc6ac57-6969-4002-b872-df89664132fc
1429941761	Maps	Yeah Yeah Yeahs	Fever To Tell	591acc1e-6e16-4663-8af6-ad7b5f5d5a6d	584c04d2-4acc-491b-8a0a-e63133f4bfc4	25c73954-a95b-4f62-8b4b-ff180262a75d
1429941484	Walk on the Wild Side	Lou Reed	Transformer	029eeeac-45a1-4dda-a43c-77980078eb28	9d1ebcfe-4c15-4d18-95d3-d919898638a1	e15b597b-e2ca-49df-a0c4-c855a9ad60c7
1429941205	Fly	Ludovico Einaudi	Divenire	e182db32-7898-4333-a41c-beed5875b72e	fa34b363-79df-434f-a5b8-be4e6898543f	931d4cfa-53c6-41cd-8ab0-a2917a7c1f3e
1429941020	Scary Fragile	Butterfly Boucher	Scary Fragile	47175702-1b27-4d92-94d8-817680dfb398	cb2a2f2a-68de-4dd6-b47a-64fb680e2795	5e6cc34a-9bf3-484f-b357-6dcabe8cd713
1429940841	Astair	Matt Costa	Songs We Sing	44e58dd9-8411-4aa2-b564-f29d8bafec9e	fa7ed4fb-fa39-4820-8ae1-5fe98bc2ef8d	16379b66-f0ed-492f-b75e-a20a336cc853
1429940573	Twilight	Elliott Smith	From a Basement on the Hill	b195a9df-f422-4dbb-9657-8defb4b87df2	03ad1736-b7c9-412a-b442-82536d63a5c4	abd5cf98-c804-418c-a390-fbbbce526b13
1429940416	Say Yes	Elliott Smith	Either/Or	95a7cf62-38fd-4b81-add7-f160760a7e82	03ad1736-b7c9-412a-b442-82536d63a5c4	0a5aa565-8158-4e81-9776-af8044f6cc1e
1429939891	Melkweg	Kimito Lopez	In Search of Sunrise 7 - Asia	28d21d79-3668-43a0-a839-0cbcb1befe75	f292d549-2b49-4975-ab5f-9078a448d075	
1429939574	Still With Me - Seven Lions Remix	Tritonal	Still With Me (Extended Remixes)		bbee6bad-1904-460e-b9f7-9e61fc890673	
1429939364	Could You Believe - Airplay Mix	ATB	ATB Sunset Beach DJ Session		22a096ef-c70d-4d70-ae19-4fc2412d4986	
1429938860	Wasted	Andy Duguid feat. Leah	In Search Of Sunrise 7 - Asia	42fca15c-825d-4b30-aca3-6963946ae632		
1429938292	Halcyon And On And On	Orbital	Orbital 2	0c983382-2a88-4caf-a474-e48ae3431035	c5691882-9bc7-4c25-9bac-2d81dc9ef636	30079fc6-9c87-3c17-af1c-2a9b5deb641e
1429937905	Come Fly Away - Soha & Adam K Remix	Benny Benassi	Come Fly Away (feat. Channing)		674bf89f-8e70-4472-929d-6b4ed6f98c88	
1429937537	In My Memory	Tiësto	In My Memory	d5de1286-7797-4cf2-87af-20b384312f9b	163a0256-f137-4b6f-8922-77941cbb9532	3964e254-9611-4182-b03b-d0a2faea8701
1429937210	Sun & Moon	Above & Beyond	Group Therapy	4282f5fb-9cb0-43dc-a747-4d90f5e25ef5	370bd5a3-4abf-4356-8576-3a8fc0c11d65	a5bd4a0b-6a0d-44e9-8961-94260e83e625
1429936687	Find Yourself - Cosmic Gate Remix	John O'Callaghan	Find Yourself		96a19638-1eed-4d69-83ba-b2bc75bda9b9	
1429936275	Get Lifted	Kamui	In Search Of Sunrise 7 - Asia	3c254e56-729e-4922-82d6-4c651923e1e1	f7491fcd-d6fe-446c-be92-eeb3812185a2	
1429935988	Sólarupprás - Original Mix	Chicane	Thousand Mile Stare		8b506e4a-c343-467b-aad6-300a9bfac355	45e5a93c-21bb-46be-9253-08944c42de6b
1429935750	Move For Me	Kaskade	Strobelite Seduction	372bf3b2-b8b5-4c22-acaf-154ad1f53c6f	29ed4a49-fb99-4a5c-8713-609cabe6f34a	5113191b-ac2e-4f5e-81b1-bd1821eb6c8a
1429935250	Halcyon [Tom Middleton Re-Model]	Orbital	Orbital 20		c5691882-9bc7-4c25-9bac-2d81dc9ef636	84b96419-7ebb-4b1c-9eda-8607bf5392d9
1429935018	For An Angel - Radio Edit	Paul van Dyk	Trance Anthems Top 60		092ca127-2e07-4cbd-9cba-e412b4ddddd9	
1429934807	As the Rush Comes	Motorcycle	As The Rush Comes	05d21152-d07a-4cce-b1ab-5b1330f5b1af	2ef10f68-c2d4-4eda-a0aa-962f1dcdfd31	53225b9b-b66b-4594-b5f1-2cca1808f610
1429934573	Ecstasy	ATB	No Silence	14112b98-a2db-4598-bfd1-e6e3baf79ca4	22a096ef-c70d-4d70-ae19-4fc2412d4986	71dcd997-cee1-4ea0-bee1-75020bba40ae
1429934258	Eyes	Kaskade	Fire & Ice		29ed4a49-fb99-4a5c-8713-609cabe6f34a	a8274388-3b4b-49f5-b74b-1f05c7341631
1429933938	Debaser	Pixies	Doolittle	5f10ee90-b0ce-4ad8-be31-d103fbbbff9c	b6b2bb8d-54a9-491f-9607-7b546023b433	9089bacc-2bb9-40ad-b2a0-d312cbbb921c
1429933656	Puff, the Magic Dragon	Peter, Paul & Mary	Moving		3d621c94-2356-4532-ad52-79e0ef73e20c	
1429933473	Perfect Day	Lou Reed	Transformer	00c2e83e-9d4d-402f-93ef-8a957f709320	9d1ebcfe-4c15-4d18-95d3-d919898638a1	e15b597b-e2ca-49df-a0c4-c855a9ad60c7
1429933152	Vehl	Kidnap Kid	Alphaville EP	47819e9d-55d4-43d0-b772-dbe805432cdf	090be6e9-a576-4a1d-96b4-3f717c050286	
1429932646	He Would Have Laughed	Deerhunter	Halcyon Digest	00df6a89-1b99-4250-a75d-d63f49a8b4dc	4f416ed7-dda2-45de-a6f1-b986e861cf4b	0466b981-0b33-43dc-b849-3d889eab7cf0
1429932447	Coronado	Deerhunter	Halcyon Digest	7e9a62ee-4665-43e6-b3f5-19cdf46f2408	4f416ed7-dda2-45de-a6f1-b986e861cf4b	0466b981-0b33-43dc-b849-3d889eab7cf0
